instance_name,run_num,final_fitness,min_fitness,max_fitness,avg_fitness,fitness_std_dev,avg_time
gr202,1,83559.0,83559.0,240324.0,93589.4242,13857.538233792991,4459.4673898877145
gr202,2,68004.0,68004.0,240691.0,88487.5342,19517.995624301908,4468.413221697139
gr202,3,77283.0,77283.0,244487.0,92233.3882,16804.84344804686,4407.160612069654
gr202,4,80687.0,80687.0,241643.0,92350.4006,15025.448766670752,4339.534136181688
gr202,5,81897.0,81897.0,244124.0,92312.9036,14797.258780294045,4399.518288421345
gr202,6,80415.0,80415.0,243069.0,92039.2392,14274.538904250783,4472.221352422857
gr202,7,77868.0,77868.0,242922.0,89214.9868,15383.588549839726,4441.5200930044175
gr202,8,77270.0,77270.0,243317.0,89430.5288,14967.61110562445,4561.821427970314
gr202,9,75778.0,75778.0,238511.0,89474.883,15544.991988820628,4533.107460276699
gr202,10,79083.0,79083.0,245339.0,89507.1536,14624.930965237225,4606.072047349596
gr202,11,81773.0,81773.0,238782.0,94547.9556,14996.533107457779,4630.681587823153
gr202,12,77319.0,77319.0,242060.0,91127.9374,17536.43027601816,4628.7407647059445
gr202,13,78838.0,78838.0,244601.0,89526.8074,14971.585747457213,4521.980603874016
gr202,14,76634.0,76634.0,241461.0,87111.9494,15444.490238819377,4431.973533623504
gr202,15,79924.0,79924.0,237514.0,89716.824,13712.519497146246,4554.353862120819
gr202,16,80753.0,80753.0,242810.0,89754.4648,14830.133194980992,4664.766160768223
gr202,17,79855.0,79855.0,235247.0,92470.8494,15453.216186477845,4306.942700493383
gr202,18,82979.0,82979.0,243544.0,98171.9208,14304.115744427314,4514.139028696918
gr202,19,75243.0,75243.0,245169.0,90848.9662,18816.93789036281,4500.8999943164345
gr202,20,79551.0,79551.0,245800.0,91324.0162,15238.585905024604,4514.590351974249
gr202,21,80848.0,80848.0,244096.0,92238.542,15296.59566342832,4476.1291065898895
gr202,22,78368.0,78368.0,245153.0,88835.6292,14672.231713369221,4423.605633719826
gr202,23,77658.0,77658.0,244371.0,93205.901,17707.83271396825,4583.754259431744
gr202,24,81779.0,81779.0,245865.0,95271.8174,16404.391896524423,4656.933144443846
gr202,25,73808.0,73808.0,247279.0,88053.1076,16327.927009149247,4493.073064532089
gr202,26,77240.0,77240.0,245150.0,88583.206,14376.983774173656,4401.126014190388
gr202,27,77750.0,77750.0,243438.0,90960.2934,15138.282847774786,4271.336017442083
gr202,28,76262.0,76262.0,239729.0,91980.48,17762.080049012657,4521.007277710151
gr202,29,77966.0,77966.0,240407.0,93025.8938,17521.507163448507,4487.144337050009
gr202,30,76175.0,76175.0,239960.0,89846.7108,16242.234578665124,4502.8365393782615
gr202,31,79166.0,79166.0,240852.0,97066.4816,16355.80243702929,4523.752712861156
