instance_name,run_num,distancia_minima,distancia_maxima,distancia_promedio,desviacion_distancia,tiempo_promedio
gr666,30,1082776.0,5052425.0,1393584.0524,526555.3681842053,498.6026963662624
gr666,26,1070795.0,5104516.0,1376099.8746,549095.587567922,506.73618427886964
gr666,10,1058562.0,5231351.0,1398650.982,549735.9588207642,477.18799892430303
gr666,8,1036554.0,5097650.0,1358715.2868,537409.6494111379,486.4719825204849
gr666,31,1050215.0,5079005.0,1339479.8818,531180.5563908345,516.4340142724037
gr666,4,1058253.0,5002907.0,1353084.2658,528676.6990629679,516.3271034627437
gr666,28,1011413.0,5023637.0,1359222.2576,539491.7184467982,511.1668965628624
gr666,16,1126733.0,5069624.0,1415266.8434,498874.81705819175,564.2963342803955
gr666,2,1065435.0,5197808.0,1390976.1146,539082.4206820971,551.5870314407349
gr666,15,1018056.0,5179653.0,1365306.3116,546074.1711926006,548.5864844368934
gr666,27,1087198.0,5088781.0,1421073.3476,527967.9492717516,575.5096795188427
gr666,20,1021068.0,5048132.0,1364124.3022,528239.2850080305,531.5704810598373
gr666,19,1075744.0,5051292.0,1410999.2292,535682.0786836589,539.1768295062066
gr666,25,1036482.0,5059303.0,1377357.4272,542099.4588840022,545.7544014347077
gr666,13,1066177.0,5043888.0,1420384.1478,538064.4859006857,526.8356275858403
gr666,12,990456.0,5136770.0,1342147.9918,554234.3948163029,545.3842226557732
gr666,5,1078457.0,5076459.0,1404601.0166,516290.3962916224,549.8508197062492
gr666,14,1004937.0,5157120.0,1339971.8946,564131.4604086033,573.1734481277942
gr666,23,952952.0,5177572.0,1317534.9626,554616.5596170574,545.242321863556
gr666,29,1100425.0,5054031.0,1420646.5726,523449.46450742974,550.3548492589474
gr666,6,1026218.0,5217754.0,1353241.0872,543902.334750949,528.3807236752987
gr666,21,1081293.0,4942260.0,1421329.5724,517698.55717821163,558.2830866240978
gr666,7,1039229.0,5074830.0,1374258.7742,526288.9688548465,558.4348624373913
gr666,1,1021547.0,5041238.0,1370171.5962,544165.8055366649,597.2150543037415
gr666,24,1011225.0,5144174.0,1356122.5232,547571.1872497704,582.3731018722534
gr666,11,1020317.0,5062685.0,1353118.9402,536789.6534681945,635.1634725036621
gr666,22,1006452.0,5006734.0,1362684.4204,529982.1838807428,595.2055988849163
gr666,18,1023775.0,5184146.0,1362460.5994,555641.458811509,615.5858251699924
gr666,17,1009019.0,4864151.0,1339850.064,520268.5707619095,606.6427302899838
gr666,3,1010429.0,5184154.0,1368345.885,565586.5380030046,571.7937959294319
gr666,9,1002794.0,5164019.0,1360248.1034,557226.5002689268,614.4001907179833
